;x;;;;;;;;;;;;;;;
AD12DA;Basic;;;;;;;;;;;;;;;
AD13DA;Basic;;;;;;;;;;;;;;;
AD235V;60-hp;;;;;;;;;;;;;;;
AD244V;60-hp;;;;;;;;;;;;;;;
AD231V;60-hp;;;;;;;;;;;;;;;
AD232V;COURSE_AD231V;;;;;;;;;;;;;;;
AD245V;x;;;;;;;;;;;;;;;
AD222V;x;;;;;;;;;;;;;;;
AD1221;Basic;;;;;;;;;;;;;;;
AD1220;120-hp;;;;;;;;;;;;;;;
AD1222;x;;;;;;;;;;;;;;;
AD241V;60-hp;;;;;;;;;;;;;;;
AD236V;x;;;;;;;;;;;;;;;
AD240V;x;;;;;;;;;;;;;;;
AD238V;x;;;;;;;;;;;;;;;
AD239V;60-hp;;;;;;;;;;;;;;;
AD237V;60-hp;;;;;;;;;;;;;;;
AD1PLA;Basic;;;;;;;;;;;;;;;
AD210V;Basic;;;;;;;;;;;;;;;
AD211V;Basic;;;;;;;;;;;;;;;
AD212V;Basic;;;;;;;;;;;;;;;
AD213V;Basic;;;;;;;;;;;;;;;
AD1AB1;Basic;;;;;;;;;;;;;;;
AD1AFD;x;;;;;;;;;;;;;;;
AD250V;120-hp;;;;;;;;;;;;;;;
1A5031;Prof;;;;;;;;;;;;;;;
1A5037;x;;;;;;;;;;;;;;;
AD223V;Basic;;;;;;;;;;;;;;;
AD234V;60-hp;;;;;;;;;;;;;;;
AD204V;Basic;;;;;;;;;;;;;;;
AD205V;Basic;;;;;;;;;;;;;;;
AD220V;Basic;;;;;;;;;;;;;;;
AD1AP1;Basic;;;;;;;;;;;;;;;
AD249V;60-hp;;;;;;;;;;;;;;;
AD242V;60-hp;;;;;;;;;;;;;;;
AD233V;Mcs-exam;;;;;;;;;;;;;;;
AD3102;Mcs-exam;;;;;;;;;;;;;;;
AD1BE1;x;;;;;;;;;;;;;;;
AD1BES;x;;;;;;;;;;;;;;;
AD246V;60-hp;;;;;;;;;;;;;;;
AD1BYP;1-års;;;;;;;;;;;;;;;
AD2810;180-hp;;;;;;;;;;;;;;;
AD3108;Bcs-exam;;;;;;;;;;;;;;;
AD3109;Bcs-exam;;;;;;;;;;;;;;;
AD3104;Bcs-exam;;;;;;;;;;;;;;;
AD3105;Bcs-exam;;;;;;;;;;;;;;;
AD102V;Basic;;;;;;;;;;;;;;;
AD248V;120-hp;;;;;;;;;;;;;;;
1A10HX;x;;;;;;;;;;;;;;;
AD2EXU;Bcs-exam;;;;;;;;;;;;;;;
AD2UPX;Exam;;;;;;;;;;;;;;;
AD1FOL;x;;;;;;;;;;;;;;;
AD3106;Bcs-exam;;;;;;;;;;;;;;;
AD3107;Bcs-exam;;;;;;;;;;;;;;;
AD1FOT;x;;;;;;;;;;;;;;;
AD3114;Mcs-exam;;;;;;;;;;;;;;;
AD1FAR;Basic;;;;;;;;;;;;;;;
