;;;
False;2DAutoCAD Fokus på ritningen som kommunikationsredskap;AD12DA;Studerande vid arkitekturprogrammet, KTH.
False;3D-Modellering;AD13DA;Studerande på arkitektprogrammet vid KTH.
False;Arkitektoniska rekonstruktioner;AD235V;Högskolestudier om 60 hp samt svenska B/Svenska 3 och Engelska A/Engelska 6 eller motsvarande.
False;Arkitekttävlingen: teori och professionell praktik;AD244V;\xe2\x80\xa2 60 hp högskolestudier inom området arkitektur och samhällsbyggnad
False;Arkitektur- och designforskning I;AD231V;Högskolestudier om 60 hp samt engelska B eller motsvarande.
False;Arkitektur- och designforskning II;AD232V;Arkitektur och Designforskning I,  AD231V
False;Arkitektur för alla: användbarhet, delaktighet och tillgänglighet;AD245V;
False;Arkitektur för ett åldrande samhälle;AD222V;
False;Arkitektur för tekniklärare;AD1221;För tillträde till kursen krävs kunskaper motsvarande grundläggande behörighet för ämneslärare i teknik
False;Arkitektur för ämneslärare I;AD1220;120 hp inom CL-programmet
False;Arkitektur för ämneslärare II;AD1222;
False;Arkitektur och genus: fördjupning;AD241V;60 hp högskolestudier
False;Arkitektur och genus: Introduktion;AD236V;Studier i konst, design, arkitektur och/eller genusteori, eller motsvarande utbildning eller arbetslivserfarenhet. Närmare upplysningar lämnas av kursansvarig
False;Arkitektur och genus: Projekt I;AD240V;Jane Rendell, Barbara Penner, Ian Borden, eds., Gender, Space, Architecture. An interdisciplinary introduction, London: Routledge, 2000.
False;Arkitektur och genus: Salong;AD238V;Tidigare studier i litteratur, konst, design, arkitektur och/eller genus.
False;Arkitektur och genus: Studio;AD239V;Universitetsstudier om 60 hp samt dokumenterade kunskaper i Engelska B eller motsvarande.
False;Arkitektur och genus: Uppsats;AD237V;Universitetsstudier om 60 hp samt dokumenterade kunskaper i Engelska B eller motsvarande.
False;Arkitektur och plåt;AD1PLA;Påbörjad arkitektutbildning eller motsvarande.
False;Arkitektur som terapeutisk miljö I: Arkitektur och omvårdnad;AD210V;Grundläggande högskolebehörighet: Avslutad gymnasieutbildning eller motsvarande, inkl. svenska och engelska.
False;Arkitektur som terapeutisk miljö II: Arkitektur och omvårdnad, fördjupning;AD211V;Grundläggande behörighet: Avslutad gymnasieutbildning eller motsvarande inkl. svenska och engelska.
False;Arkitektur som terapeutisk miljö III: Estetik som läkande process;AD212V;Grundläggande behörighet: Avslutad gymnasieutbildning eller motsvarande, inkl. svenska och engelska.
False;Arkitektur som terapeutisk miljö IV: Estetik som läkande process, fördjupning;AD213V;Grundläggande behörighet: Avslutad gymnasieutbildning eller motsvarande, inkl. svenska och engelska.
False;Arkitektur, byggtekniken;AD1AB1;Grundläggande behörighet: avslutad gymnasieutbildning eller motsvarande, inkl. svenska och engelska.
False;Arkitektur, form och design;AD1AFD;
False;Arkitektur, kvalitet och bedömning;AD250V;120 hp högskolestudier inom arkitektur eller samhällsplanering.
False;Arkitekturens begrepp och teorier;1A5031;FörkunskapskravFör att följa kursen krävs examen på magisternivå i arkitektur eller motsvarande examen. Företräde ges för doktorander antagna vid KTH eller till annan forskarutbildning inom arkitektur.
False;Arkitekturens historiografi;1A5037;
False;Arkitekturens kvalitetsfrågor;AD223V;Grundläggande behörighet: Avslutad gymnasieutbildning eller motsvarande, inkl. svenska och engelska.
False;Arkitekturens kvalitetsfrågor;AD234V;60 hp högskolestudier inom arkitektur och samhällsbyggnad. Det är ett brett kunskapsfält som inkluderar inredningsarkitektur husbyggnad, konstruktion, stadsbyggnad, landskapsarkitektur och fysiskt planering
False;Arkitekturkritisk teori I: Gender;AD204V;Grundläggande behörighet: Avslutad gymnasieutbildning eller motsvarande, inkl. svenska och engelska.
False;Arkitekturkritisk teori II: Gender, fördjupning;AD205V;Grundläggande behörighet: Avslutad gymnasieutbildning eller motsvarande, inkl. svenska och engelska.
False;Arkitekturkritisk teori III: Gender. Litteraturfördjupning;AD220V;Grundläggande behörighet: Avslutad gymnasieutbildning eller motvarande, inkl. svenska och engelska.
False;Arkitekturpedagogik 1;AD1AP1;Grundläggande behörighet: Avslutad gymnasieutbildning eller motsvarande, inkl. svenska och engelska. Erfarenhet av undervisning inom arkitektutbildning krävs.
False;Att tävla i arkitektur och stadsbyggnad;AD249V;60 hp högskolestudier inom arkitektur och samhällsbyggnad
False;Att utvärdera arkitektur;AD242V;Högskolestudier om 60 hp samt Svenska B/Svenska 3 och Engelska A/Engelska 6 eller motsvarande.
False;Avancerad arkitekturdesign I;AD233V;Arkitektexamen, civilingenjörsexamen, landskapsarkitektexamen, inredningsarkitektexamen eller motsvarande.
False;Begrepp, teorier och experimentella praktiker i konst, teknik och design;AD3102;Masterexamen eller motsvarande kunskap inom teknik, konst eller design (såsom arkitektur, planering, ingenjör, design, konst eller hantverk) eller närliggande ämnen inom samhällsvetenskap och humaniora. För att kursen ska hållas krävs ett minimum av 5 och ett maximum av 25 studenter.
False;Betong 1;AD1BE1;
False;Betongkurs;AD1BES;
False;Byggnadsrestaureringens historia och teori;AD246V;\xe2\x80\xa2 60 hp högskolestudier inom området arkitektur, kulturmiljövård och humaniora
False;Byggprojektet;AD1BYP;Förkunskaper:Minst ett års studier vid arkitekturskola på universitetsnivå eller byggnadsteknisk utbildning på universitetsnivå.
False;Concepts and Tools in Urban Analysis;AD2810;180 credits (three years) from architecture, landscape architecture or planning programme on graduate level.
False;Deltagande i eller anordning av utställning: konst, teknik och design;AD3108;Magisterexamen eller motsvarande kunskap inom teknik, konst eller design (såsom arkitektur, planering, ingenjör, design, konst eller hantverk) eller närliggande ämnen inom samhällsvetenskap och humaniora
False;Deltagande i eller anordning av utställning: konst, teknik och design;AD3109;Magisterexamen eller motsvarande kunskap inom teknik, konst eller design (såsom arkitektur, planering, ingenjör, design, konst eller hantverk) eller närliggande ämnen inom samhällsvetenskap och humaniora.
False;Deltagande i seminarium eller workshop: konst, teknik och design;AD3104;Magisterexamen eller motsvarande kunskap inom teknik, konst eller design (såsom arkitektur, planering, ingenjör, design, konst eller hantverk) eller närliggande ämnen inom samhällsvetenskap och humaniora
False;Deltagande i seminarium eller workshop: konst, teknik och design;AD3105;Magisterexamen eller motsvarande kunskap inom teknik, konst eller design (såsom arkitektur,planering, ingenjör, design, konst eller hantverk) eller närliggande ämnen inom samhällsvetenskap och humaniora.
False;Den internationella samtidsarkitekturen;AD102V;Grundläggande behörighet.
False;Det moderna byggnadsarvet;AD248V;120 hp högskolestudier.
True;Examensarbete inom design och byggande;1A10HX;ABE/Arkitektur, Fex övr utbildning
